"序号","试题内容","正确选项","A","B","C","D",""
"65","《国铁客规》规定 ： 通过12306网站购票的，“行程信息提示”可通过网站自行打印或下载。 购票后如需报销凭证的，应在（），凭购票时所使用的有效身份证件到车站售票窗口、自动售票机开具。","B","开车前","开车前或乘车日期之日起180日以内","开车后","开车前或乘车日期之日起180日",""
"66","《国铁客规》规定：“行程信息提示”和报销凭证可以作为乘车凭证使用。","B","对","错","","",""
"67","《国铁客规》规定：车票最远发售至（ ）。铁路运输企业另有规定的票种除外。","D","换车站","旅客换车站","终到站","本次列车终到站",""
"68","《国铁客规》规定：除需要乘坐旅客列车通勤上学的学生和铁路运输企业同意在旅途中监护的儿童外，（ ）的儿童应当随同成年人旅客旅行。","A","未满14周岁","14周岁","未满6周岁","6周岁",""
"69","《国铁客规》规定：随同成年人乘车的儿童，（ ）的应当购买儿童优惠票。","AB","年满6周岁","未满14周岁","1.2米","不足1.5米",""
"70","《国铁客规》规定：（ ）的儿童，应当购买全价票。","B","年满6周岁","年满14周岁","年满18周岁","1.5米",""
"71","《国铁客规》规定：每一名持票成年人旅客可以免费携带一名（ ）且不单独占用席位的儿童乘车；超过一名时，超过人数应当购买儿童优惠票。","A","未满6周岁","未满8周岁","未满16周岁","未满18周岁",""
"72","《国铁客规》规定：儿童年龄按（ ）计算。","A","乘车日期","乘车月份","乘车季度","乘车年度",""
"73","《国铁客规》规定：旅客携带免费乘车儿童时，应当在购票时向铁路运输企业提前申明，购票申明时使用的免费乘车儿童有效身份证件为其乘车凭证。","A","对","错","","",""
"74","《国铁客规》规定：免费乘车的儿童单独使用席位时应购买儿童优惠票。","A","对","错","","",""
"75","《国铁客规》规定：儿童优惠票的（ ）应与同行成年人所持车票相同，到站不得远于成年人车票的到站。","ABC","乘车日期","车次","席别","票价",""
"76","《国铁客规》规定：在全日制高等学校（含国务院教育行政部门、省级人民政府审批设置的实施高等学历教育的民办学校），（ ）就读的学生、研究生，凭学生证（中、小学生凭盖有学校公章的书面证明）每学年（10月1日至次年9月30日）可以购买家庭居住地至院校（实习地点）所在地之间四次单程的学生优惠票。","ABCD","承担研究生教育任务的科学研究机构","军事院校","普通中、小学","中等职业学校（含有实施学历教育资格的公办及民办中等专业学校、职业高中、技工学校）",""
"77","《国铁客规》规定：，（ ）每学年（10月1日至次年9月30日）可购买家庭居住地至院校（实习地点）所在地之间四次单程的学生优惠票。","ABCD","家庭居住地和学校所在地不在同一城市时","凭附有标注减价优惠区间和火车票学生优惠卡的学生证","中、小学生凭加盖学校公章的书面证明","优惠区间应加盖院校公章",""
"78","《国铁客规》规定：家庭居住地和学校所在地不在同一城市时，凭附有标注减价优惠区间和火车票学生优惠卡的学生证（中、小学生凭加盖学校公章的书面证明），优惠区间应加盖院校公章，每学年（ ）可购买家庭居住地至院校（实习地点）所在地之间四次单程的学生优惠票。","C","均","1月1日至次年12月30日","10月1日至次年9月30日","10月1日至次年12月30日",""
"79","《国铁客规》规定：家庭居住地和学校所在地不在同一城市时，凭附有标注减价优惠区间和火车票学生优惠卡的学生证（中、小学生凭加盖学校公章的书面证明），优惠区间应加盖院校公章，每学年（10月1日至次年9月30日）可购买（ ）之间四次单程的学生优惠票。","AB","家庭居住地至院校所在地","家庭居住地至（实习地点）","家庭居住地至旅游城市","家庭居住地至直辖市",""
"80","《国铁客规》规定：（ ）当年可购买一次学生优惠票。","AB","新生凭录取通知书","毕业生凭盖有院校公章的学校书面证明","毕业生凭学校证明","毕业生学校书面证明",""
"81","《国铁客规》规定：学生优惠票限于使用（ ）。","ABD","普通旅客列车硬座","普通旅客列车硬卧","普通旅客列车软座","动车组列车二等座",""
"82","《国铁客规》规定 ：学生每学年乘车前应通过12306网站或到车站指定售票窗口、自动售票机办理一次学生优惠资质核验手续。","A","对","错","","",""
"83","《国铁客规》规定 ：通过车站指定售票窗口或自动售票机办理学生优惠资质核验手续时，应出具本人有效身份证件和学生证（附有火车票学生优惠卡），（），无法通过学生优惠资质核验。","ABCD","没有火车票学生优惠卡","火车票学生优惠卡所载信息不全","不能识别或者学生证","学生证记载不一致的",""
"84","《国铁客规》规定：未办理或未通过优惠资质核验购买学生优惠票乘车时，列车应（ ）。","AB","先办理补收票价差额手续","开具客运记录","加收票款","不予乘车",""
"85","《国铁客规》规定：未办理或未通过优惠资质核验补票后，旅客到站后可凭车补车票、学生证和购票时所使用的有效身份证件（列车如开具纸质客运记录，还应携带纸质客运记录），（ ）到车站售票窗口办理资质核验和退票手续。","A","30日以内","60日以内","90日以内","180日以内",""
"86","《国铁客规》规定：未办理或未通过优惠资质核验补票旅客，车站核实学生所购学生优惠票符合有关规定后，为其办理资质核验，（ ）。","ABC","扣减学生火车票优惠卡次数","退还车补车票票款","不收退票费","核收退票费",""
"87","《国铁客规》规定：华侨学生和港澳台学生可购买学校所在地车站至口岸城市车站间的学生优惠票。铁路运输企业另有规定的除外。","A","对","错","","",""
"88","《国铁客规》规定：学生证的减价优惠区间更改时，应重新加盖院校公章，并修改火车票学生优惠卡内相关信息。","A","对","错","","",""
"89","《国铁客规》规定 ：学生优惠票根据（）发售。在减价优惠区间内购买联程车票时，扣减一次优惠乘车次数。超过减价优惠区间的，不发售学生优惠票。","AB","减价优惠区间按相对近径路","减价优惠区间按相合理径路","优惠区间","乘车区间",""
"90","《国铁客规》规定：持（ ）的人员凭证可以购买优待票。","ABC","中华人民共和国残疾军人证","中华人民共和国伤残人民警察证","国家综合性消防救援队伍残疾人员证","残疾人证",""
"91","《国铁客规》规定：在无人售票的乘降所上车的人员，可在到站购票。","B","对","错","","",""
"92","《国铁客规》规定：铁路运输企业按照国家有关规定对旅客所持车票和有效身份证件进行车票实名制查验。","A","对","错","","",""
"93","《国铁客规》规定 ：车站对进、出站的旅客和人员应当检票，列车对乘车旅客应验票。对应当持证购买的优惠票、优待票，铁路运输企业还须查验旅客相应优惠、优待证件。","A","对","错","","",""
"94","《国铁客规》规定：旅客检票后在车票发站开车前取消旅行，需办理改签、退票手续的，应在开车前主动向车站声明。","A","对","错","","",""
"95","《国铁客规》规定 ： 旅客应配合铁路运输企业实施的车票实名制查验工作，携带免费乘车儿童应提供其购票申明时使用的儿童有效身份证件；使用持证购买的优惠票、优待票应出示相应优惠、优待证件。","A","对","错","","",""
"96","《国铁客规》规定：铁路运输企业应当依照法律、行政法规和有关规定，对旅客及其携带品进行安全检查。旅客携带品应当遵守国家禁止或者限制运输的相关规定。","A","对","错","","",""
"97","《国铁客规》规定：车站在开车前提前停止检票，并应当在本站营业场所公告（ ）。旅客可通过乘车站营业场所公告查询。","C","停检时间","停止检票时间","提前停止检票时间","推后停止检票时间",""
"98","《国铁客规》规定：铁路稽查人员凭（ ）可以在车内验票。","AB","稽查证件","佩戴稽查标识","工作证","乘车证",""
"99","《国铁客规》规定：旅客的乘车凭证是购票时使用的有效身份证件；随行免费乘车儿童的乘车凭证是其申明时所使用的（ ）。","B","有效身份证件","儿童有效身份证件","成人有效身份证件","临时有效身份证件",""
"100","《国铁客规》规定：旅客应当按有效车票载明的日期、（ ）和席别乘车。","ABCD","时间","车次","车厢号","席位号",""
"101","《国铁客规》规定：持低票价席别车票的旅客不能在高票价席别的车厢（区域）滞留。","A","对","错","","",""
"102","《国铁客规》规定：视力残疾旅客可以携带取得导盲犬工作证（ ），用于辅助视力残疾人工作、生活的导盲犬进站乘车。","ABC","载有导盲犬使用者信息","盖有公安部门或残疾人联合会公章","或带有国际导盲犬联盟标识“IGDF”","经客运人员同意",""
"103","《国铁客规》规定：旅客进站、乘车时，需主动（ ）。","ABCD","出示残疾人证","导盲犬工作证","动物健康免疫证明等证件","携带的导盲犬接受安全检查",""
"104","《国铁客规》规定 旅客可办理一次改签，在铁路运输企业有运输能力的前提下，按下列规定办理:开车前不足48小时，(    )的列车。","B","可免费改签预售期内","可免费改签车票载明的乘车日期以前","可改签车票载明的乘车日期之后预售期内","可免费改签当日其他",""
"105","《国铁客规》规定 旅客可办理一次改签，在铁路运输企业有运输能力的前提下，按下列规定办理:开车前不足48小时，(    )列车，核收改签费。","C","可免费改签预售期内","可免费改签车票载明的乘车日期以前","可改签车票载明的乘车日期之后预售期内","可免费改签当日其他",""
"106","《国铁客规》规定 旅客可办理一次改签，在铁路运输企业有运输能力的前提下，按下列规定办理:开车后在当日24 时之前，(   )列车。","D","可免费改签预售期内","可免费改签车票载明的乘车日期以前","可改签车票载明的乘车日期之后预售期内","可免费改签当日其他",""
"107","《国铁客规》规定 旅客可办理一次改签，在铁路运输企业有运输能力的前提下，按下列规定办理:开车后在当日24 时之前，可(   )列车，核收改签费。","D","可免费改签预售期内","可免费改签车票载明的乘车日期以前","可改签车票载明的乘车日期之后预售期内","改签车票载明的乘车日期之后预售期内",""
"108","《国铁客规》规定  旅客可办理一次改签，在铁路运输企业有运输能力的前提下，按下列规定办理:办理变更到站的改签时，应在开车前(   )，原车票已托运行李的，还应办理行李变更或取消业务。","D","24小时","24小时以上","48小时","48小时以上",""
"109","《国铁客规》规定：旅客可办理一次改签，在铁路运输企业有运输能力的前提下，按下列规定办理:开车前48小时以上，(   )的列车。","A","可免费改签预售期内","可免费改签车票载明的乘车日期以前","可改签车票载明的乘车日期之后预售期内","可免费改签当日其他",""
"110","《国铁客规》规定：旅客可在（ ）办理改签。","ABC","车站售票窗口","12306网站","具备改签功能的自动售票机","代售点",""
"111","《国铁客规》规定 ：凭各种有效身份证件购买的车票均可在车站售票窗口办理改签，但已（）的车票，仅可在车站售票窗口办理改签。","AB","开具印报销凭证的","使用现金支付方式购买","已打印行程信息提示的","使用银行卡支付方式购买",""
"112","《国铁客规》规定 ：改签后如需改签费报销凭证的，可在（），凭改签时所使用的有效身份证件到车站售票窗口、自动售票机开具。","C","办理之日起90日以内","90日以内","办理之日起180日以内","180日以内",""
"113","《国铁客规》规定 ：旅客要求越过车票到站继续乘车，无运输能力时，列车有权拒绝旅客补票和继续乘车。","A","对","错","","",""
"114","《国铁客规》规定：凭12306网站购票证件且使用电子支付方式购买的车票，可通过12306网站办理改签；在具备改签功能的自动售票机办理改签时，应按系统提示办理。","A","对","错","","",""
"115","《国铁客规》规定：在车站售票窗口办理改签时，乘车人须出具（ ）。","A","购票时使用有效身份证件","代办人有效身份证件","乘车人的有效身份证件","身份证件原件",""
"116","《国铁客规》规定：在车站售票窗口办理改签时，（ ）。","BC","购票时使用有效身份证件","他人代办时应出具代办人有效身份证件","乘车人购票时使用的有效身份证件","身份证件原件",""
"117","《国铁客规》规定 ：旅客办理已开具报销凭证的车票改签时，须交回报销凭证。报销凭证无法交回或不可识别、不完整时，铁路运输企业不予办理改签。","A","须交回报销凭证","不须交回报销凭证","不予办理","无须改签",""
"118","《国铁客规》规定：报销凭证（    ）时，铁路运输企业不予办理改签。","ABC","无法交回","不可识别","不完整","完整交回",""
"119","《国铁客规》规定：旅客办理改签时，改签后的车票票价高于原票价时，（ ）。","A","核收票价差额","票价不补不退","退还票价差额","不予办理",""
"120","《国铁客规》规定：旅客办理改签时，改签后的车票票价低于原票价时，（ ）。","CD","核收票价差额","票价不补不退","退还票价差额","核收票价差额的退票费",""
"121","《国铁客规》规定：旅客在列车上办理席位变更时，变更后的票价高于原票价时，核收票价差额；变更后的票价低于原票价时，（ ）。","D","核收票价差额","票价不补不退","退还票价差额","票价差额部分不予退还",""
"122","《国铁客规》规定：因铁路运输企业责任使旅客不能按车票载明的日期、时间、车次、车厢号、席位号、席别乘车时，站、车应妥善安排。重新安排的席位高于于原票价时，应当（ ）。","D","核收票价差额","票价不补不退","退还票价差额","超过部分不予补收",""
"123","《国铁客规》规定：因铁路运输企业责任使旅客不能按车票载明的日期、时间、车次、车厢号、席位号、席别乘车时，站、车应妥善安排。重新安排的席位低于原票价时，应当（ ）。","CD","核收票价差额","票价不补不退","退还票价差额","不收退票费",""
"124","《国铁客规》规定：旅客要求越过车票到站继续乘车时，须在原车票到站前提出，在有运输能力的情况下列车可予以办理，核收（ ）。","B","票款","越站区间的票款","所乘区间的票款","乘车区间的票款",""
"125","《国铁客规》规定：必要时，铁路运输企业可以临时调整改签办法。","A","对","错","","",""
"126","《国铁客规》规定：在车站售票窗口发生旅客车票误售、误购时，旅客当场提出的，（   ）。","AB","车站换发新票","需退还票价差额时，不收退票费","需退还票价差额时，不予退还","不予退还",""
"127","《国铁客规》规定：铁路运输企业责任导致的误售应为旅客（）。","AB","免费办理退票","换发新票","办理退票","核收退票费",""
"128","《国铁客规》规定：发生误乘、误降时，旅客应向站车工作人员提出。列车长应编制客运记录交前方停车站。","A","对","错","","",""
"129","《国铁客规》规定：如误乘旅客提出乘坐本趟列车直接去原票到站时，（）。","AB","所乘列车票价高于原票价时，核收票价差额","所乘列车票价低于原票价时，票价差额部分不予退还","票价不补不退","免费乘车至到站",""
"130","《国铁客规》规定： 车站对本站发现或列车移交的误乘、误降旅客，应指定最近列车免费送回至（），对出站后提出的不予受理。","AB","车票到站","原票乘车站","最近列车停车站","列车到站",""
"131","《国铁客规》规定：误乘、误降旅客拒绝铁路运输企业安排时，根据（）。","AB","实际乘车区间补收相应票款","未使用部分票款不予退还","原票信息乘车","要求免费送回",""
"132","《国铁客规》规定：告知列车无运输能力后，无票继续越站乘车的，站、车均可拒绝其进站、上车或责令其下车。","A","对","错","","",""
"133","《国铁客规》规定：发生误乘、误降时在免费送回区间，如中途下车，对往返乘车的免费区间，按（）核收往返区间的票款。","A","返程所乘列车等级分别","所乘列车等级分别","返程所乘列车等级","往返所乘列车等级分别",""
"134","《国铁客规》规定：发生误乘、误降时在免费送回区间，旅客可以中途下车。","B","对","错","","",""
"135","《国铁客规》规定：发生误乘、误降时，免费送回区间，旅客应按照铁路运输企业指定的席别乘坐，旅客如提出乘坐高票价席别时，（）。","A","应重新支付高票价席别票款","票价不补不退","持原票乘车有效","不予办理",""
"136","《国铁客规》规定：旅客在乘车前丢失证件的，应到该有效身份证件的发证机构办理临时身份证明，凭临时身份证明进出站乘车。","A","对","错","","",""
"137","《国铁客规》规定：旅客在列车上、出站前丢失证件的，（ ）。","AB","须先办理补票手续","凭后补车票检票出站","凭客运记录出站","可直接出站",""
"138","《国铁客规》规定：旅客在列车上、出站前丢失证件的，在车站办理时，车站核验车票无出站检票记录的，开具客运记录。","A","对","错","","",""
"139","《国铁客规》规定：旅客在列车上、出站前丢失证件的，旅客应在（  ），凭该有效身份证件发证机构办理的临时身份证明和后补车票（如开具纸质客运记录，还应携带纸质客运记录），到列车的经停站退票窗口办理后补车票与原票乘车区间一致部分的退票手续。","A","乘车日期之日起30日以内","乘车日期之日起180日以内","到站日期之日起30日以内","到站日期之日起180日以内",""
"140","《国铁客规》规定：旅客在列车上、出站前丢失证件的，旅客应在乘车日期之日起30日以内，凭（    ），到列车的经停站退票窗口办理后补车票与原票乘车区间一致部分的退票手续。","ABC","该有效身份证件发证机构办理的临时身份证明","后补车票","如开具纸质客运记录，还应携带纸质客运记录","口述",""
"141","《国铁客规》规定：旅客在列车上、出站前丢失证件的，如符合规定可到列车的（     ）退票窗口办理后补车票与原票乘车区间一致部分的退票手续。","A","经停站","中转站","始发站","终到站",""
"142","《国铁客规》规定：旅客在列车上、出站前丢失证件的，办理退票手续时，如核查丢失证件所购原票有出站记录的，后补车票不予退票；无出站记录的，办理退票时，不收退票费。","A","对","错","","",""
"143","《国铁客规》规定：有（）行为时，铁路运输企业按规定补票，并加收已乘区间应补票价50%的票款。","ABCD","持用变造、伪造或涂改的乘车凭证乘车时，除按无票处理外并送交公安部门处理","票、证、人不一致的，按无票处理","持用低票价席别车票乘坐高票价席别时，补收所乘区间的票价差额","旅客持优惠票、优待票，没有规定的减价凭证或不符合减价条件时，按照全价票价补收票价差额",""
"144","《国铁客规》规定：持失效车票乘车或在车票到站后不下车继续乘车的，按无票处理。铁路运输企业按规定补票，并加收已乘区间应补票价50%的票款。","A","对","错","","",""
"145","《国铁客规》规定：旅客（   ），并加收已乘区间应补票价50%的票款。","ABC","持用变造乘车凭证乘车时","持用伪造乘车凭证乘车时","持用涂改的乘车凭证乘车时","购票时有效身份证",""
"146","《国铁客规》规定：旅客（   ）按无票处理，并加收已乘区间应补票价50%的票款。","ABCD","票、证、人不一致的，按无票处理","持用低票价席别车票乘坐高票价席别时，补收所乘区间的票价差额","旅客持优惠票、优待票，没有规定的减价凭证，按照全价票价补收票价差额","旅客持优惠票、优待票，不符合减价条件时，按照全价票价补收票价差额",""
"147","《国铁客规》规定：旅客（   ），铁路运输企业按规定补票，并加收已乘区间应补票价50%的票款。","AB","持失效车票乘车，按无票处理","在车票到站后不下车继续乘车的，按无票处理","持有效车票乘车","持车补乘车",""
"148","《国铁客规》规定：应购买儿童优惠票而未买票的儿童，补收儿童优惠票票款。","A","对","错","","",""
"149","《国铁客规》规定：应购买全价票而购买儿童优惠票乘车的未成年人，应补收儿童优惠票票价与全价票价的差额并加收已乘区间应补票价50%的票款。","B","对","错","","",""
"150","《国铁客规》规定：主动补票或者经站、车同意上车补票的，应当补收票款。","A","对","错","","",""
"151","《国铁客规》规定：对无票乘车而又拒绝补票的人，列车长可责令其下车并应编制客运记录交（     ）处理（其到站近于上述车站时应交到站处理）。","ABC","前方三等以上车站","县所在地车站","市所在地车站","终到站",""
